CHEMBL1191361,NO
CHEMBL43280,CN
CHEMBL116838,CF
CHEMBL117822,C=C
CHEMBL115849,CI
CHEMBL48339,CBr
CHEMBL135626,CC
CHEMBL1201225,II
CHEMBL1234765,N=O
CHEMBL116336,C#C
CHEMBL14688,CO
CHEMBL2364719,[11C-]#[O+]
CHEMBL4285219,C=O
CHEMBL1644697,[C-]#N
CHEMBL183419,C#N
CHEMBL117545,CCl
CHEMBL142438,N#N
CHEMBL1237174,NN
CHEMBL324784,C=NO
CHEMBL1235997,O=S=O
CHEMBL119178,COC
CHEMBL135416,CCC
CHEMBL170365,CC=O
CHEMBL1796999,C1CC1
CHEMBL56279,N#CN
CHEMBL3596577,[S-]S[S-]
CHEMBL117213,C=CC
CHEMBL116960,C=C=C
CHEMBL2220234,[C-]#[N+][O-]
CHEMBL1161681,O=NO
CHEMBL156378,CCBr
CHEMBL79455,[N-]=[N+]=[N-]
CHEMBL45967,ClCCl
CHEMBL84336,N#CS
CHEMBL569461,CNC
CHEMBL1213633,CON
CHEMBL115186,FCF
CHEMBL1365180,S=C=S
CHEMBL4079232,N#C[O-]
CHEMBL1235793,SSS
CHEMBL1204369,CNN
CHEMBL15580,CSC
CHEMBL185198,C#[N+][O-]
CHEMBL93268,O=N[O-]
CHEMBL45211,CC#N
CHEMBL116736,O=CO
CHEMBL1161685,N=C=S
CHEMBL1161700,N#CO
CHEMBL116583,N=C=N
CHEMBL1887585,[O-][Cl+][O-]
CHEMBL3184935,C1CS1
CHEMBL1229889,BrCBr
CHEMBL2105054,O=[PH2]O
CHEMBL1743219,C1CO1
CHEMBL1906899,[O-][Cl+]O
CHEMBL2419248,C[N+]#N
CHEMBL266160,NC=O
CHEMBL186537,[N-]=[N+]=N
CHEMBL346918,ClCBr
CHEMBL116902,C#CC
CHEMBL14449,CCN
CHEMBL3561885,N#CBr
CHEMBL2207072,[N-]=C=S
CHEMBL540990,C1CN1
CHEMBL2227684,CC(=N)N
CHEMBL1161635,[O-][Br+2]([O-])O
CHEMBL38737,CC(=N)S
CHEMBL1207991,S=C(S)S
CHEMBL1232589,CCNC
CHEMBL14687,CCCO
CHEMBL234926,C=CCO
CHEMBL3184026,NC(N)=O
CHEMBL1161633,[O-][Cl+2]([O-])O
CHEMBL3183775,CC1CN1
CHEMBL9240,CNC=O
CHEMBL537970,C=CC=C
CHEMBL16370,ClCCCl
CHEMBL345248,BrC(Br)Br
CHEMBL275626,CCC=O
CHEMBL1235291,O=[PH](O)O
CHEMBL14409,CCCN
CHEMBL325493,CC(F)F
CHEMBL1563026,C#CCO
CHEMBL116020,C=C(F)F
CHEMBL9081,[2H]C([2H])([2H])NC=O
CHEMBL1359929,CCNN
CHEMBL116813,FC(Cl)Cl
CHEMBL3349182,O=[32PH]([O-])O
CHEMBL3187297,N#CCCl
CHEMBL276924,C[N+](=O)[O-]
CHEMBL117210,C=CCC
CHEMBL1203772,CNNC
CHEMBL117080,CC(C)N
CHEMBL1230095,CCCBr
CHEMBL2106398,CC(C)C
CHEMBL296723,NCC=O
CHEMBL157093,ClC(Br)Br
CHEMBL722,C#CC=O
CHEMBL1794637,O=[SH](=O)O
CHEMBL160255,ClCCBr
CHEMBL1451116,IC(I)I
CHEMBL119108,CC#CC
CHEMBL3885299,O=[SH](=O)[O-]
CHEMBL1901974,C[C@@H]1CO1
CHEMBL1697693,NCCBr
CHEMBL125278,NC(=O)O
CHEMBL1794794,O=NOO
CHEMBL450057,CN(C)C
CHEMBL3263480,C#CCN
CHEMBL2139477,N#CCBr
CHEMBL3222024,C=CCS
CHEMBL471245,S=C([S-])[S-]
CHEMBL260876,NC(N)=S
CHEMBL2251584,CC1CO1
CHEMBL57286,C=CCN
CHEMBL116155,FC(F)Cl
CHEMBL1347061,CSSC
CHEMBL1441128,Cl/C=C\Cl
CHEMBL15871,CCC#N
CHEMBL506976,O=CCCl
CHEMBL295026,COC=O
CHEMBL1429506,C=CCBr
CHEMBL1161636,[O-][I+2]([O-])O
CHEMBL3187576,N=C(N)N
CHEMBL816,NCCN
CHEMBL157026,Cl/C=C/Cl
CHEMBL452370,BrCCBr
CHEMBL134702,CCCC
CHEMBL1237171,C[S+](C)C
CHEMBL1606435,O=CC=O
CHEMBL186200,O=[N+]([O-])[O-]
CHEMBL1897156,CC(C)S
CHEMBL156455,C=C(Cl)Cl
CHEMBL16081,CC(N)=O
CHEMBL1236818,CCCS
CHEMBL2171713,C1CNC1
CHEMBL457299,OCCO
CHEMBL191244,OCCCl
CHEMBL1697721,CC(N)Cl
CHEMBL104943,NCCO
CHEMBL3884509,O=CCO
CHEMBL115586,OCCF
CHEMBL2096635,N[14C](N)=O
CHEMBL1213044,CCON
CHEMBL14253,CC(C)=O
CHEMBL1385560,ClC=CCl
CHEMBL3185256,COCCl
CHEMBL468583,OCCBr
CHEMBL602,NCCS
CHEMBL1193997,N#CCN
CHEMBL451126,C=CCCl
CHEMBL451810,CC(C)Br
CHEMBL1161699,O=S(O)O
CHEMBL445612,C=CC#N
CHEMBL15697,CCCCl
CHEMBL1538076,C1COC1
CHEMBL2448851,CN1CC1
CHEMBL1162280,NCCF
CHEMBL1559268,[O-][Cl+2]([O-])[O-]
CHEMBL1348453,[O-][Br+2]([O-])[O-]
